lambda,offset,r,oos
0.0,26,0.03,-0.00469045052814826
0.0,26,0.04,-0.0047012003119979925
0.0,26,0.05,-0.0047367372133676955
0.0,26,0.060000000000000005,-0.004781536414918016
0.0,26,0.06999999999999999,-0.004757395233157619
0.0,26,0.08,-0.004726219461067065
0.0,26,0.09,-0.004757947420405612
0.0,26,0.09999999999999999,-0.004726641987943472
0.0,26,0.11,-0.004719778233523065
0.0,26,0.12,-0.004790615233698364
0.0,26,0.13,-0.004782926612373612
0.0,26,0.14,-0.0047566925871370975
0.0,27,0.01,-0.00820523237988225
0.0,27,0.02,-0.008249975570362967
0.0,27,0.03,0.00428982105414331
0.0,27,0.04,-0.00813875417253037
0.0,27,0.05,-0.008450330975165819
0.0,27,0.060000000000000005,-0.008553659600395946
0.0,27,0.06999999999999999,-0.008606015064641105
0.0,27,0.08,-0.008632935424489408
0.0,27,0.09,-0.008537904502967373
0.0,27,0.09999999999999999,-0.008716114952561797
0.0,27,0.11,-0.008701179298423595
0.0,27,0.12,-0.008808271540053033
0.0,27,0.13,-0.00875227988686109
0.0,27,0.14,-0.008889033145184893
0.0,28,0.01,0.006447838597038789
0.0,28,0.02,0.006311463360341642
0.0,28,0.03,0.006061742618838193
0.0,28,0.04,0.006046189623235007
0.0,28,0.05,0.00589405243969556
0.0,28,0.060000000000000005,0.005803687523115959
0.0,28,0.06999999999999999,0.005648041333661511
0.0,28,0.08,0.00548455115549815
0.0,28,0.09,0.005343999900135933
0.0,28,0.09999999999999999,0.005308516383602399
0.0,28,0.11,0.005210145765154177
0.0,28,0.12,0.005123605327527935
0.0,28,0.13,0.005046430095798381
0.0,28,0.14,0.004968847218411572
0.0,29,0.01,-0.003827062080639719
0.0,29,0.02,-0.004195447576896081
0.0,29,0.03,-0.0046520673614435055
0.0,29,0.04,-0.005028085692865053
0.0,29,0.05,-0.00547567132739982
0.0,29,0.060000000000000005,-0.005880651054216781
0.0,29,0.06999999999999999,-0.006315585049367874
0.0,29,0.08,-0.006747545076910449
0.0,29,0.09,-0.007144624727062958
0.0,29,0.09999999999999999,-0.007543462241061812
0.0,29,0.11,-0.007933368162226562
0.0,29,0.12,-0.008329225629281619
0.0,29,0.13,-0.008730405462667842
0.0,29,0.14,-0.00911200628982814
0.0,30,0.01,-0.0023347465740869676
0.0,30,0.02,-0.002603091543553296
0.0,30,0.03,-0.0028660845535297464
0.0,30,0.04,-0.0031410989461380955
0.0,30,0.05,-0.0033927546442850142
0.0,30,0.060000000000000005,-0.004062018170819626
0.0,30,0.06999999999999999,-0.0039032970914204394
0.0,30,0.08,-0.004627263542481861
0.0,30,0.09,-0.004348119080406785
0.0,30,0.09999999999999999,-0.004569315672464816
0.0,30,0.11,-0.004784334563501818
0.0,30,0.12,-0.004975212390848383
0.0,30,0.13,-0.005202108667191504
0.0,30,0.14,-0.005505081982119657
0.0,31,0.01,-0.0009716532242792317
0.0,31,0.02,-0.0010858893766066751
0.0,31,0.03,-0.001177916709461789
0.0,31,0.04,-0.001351391922095736
0.0,31,0.05,-0.0014744480167880936
0.0,31,0.060000000000000005,-0.0016113697133168692
0.0,31,0.06999999999999999,-0.001729659484112231
0.0,31,0.08,-0.0019250841614756329
0.0,31,0.09,-0.0019414266726274435
0.0,31,0.09999999999999999,-0.0020595609734967773
0.0,31,0.11,-0.0021577873116427186
0.0,31,0.12,-0.0022784815211372234
0.0,31,0.13,-0.0024058903069045902
0.0,31,0.14,-0.002549063226606486
0.0,32,0.01,-0.0009716532242792317
0.0,32,0.02,-0.0010858893766066751
0.0,32,0.03,-0.001177916709461789
0.0,32,0.04,-0.001351391922095736
0.0,32,0.05,-0.0014744480167880936
0.0,32,0.060000000000000005,-0.0016113697133168692
0.0,32,0.06999999999999999,-0.001766294620155866
0.0,32,0.08,-0.0019106331182842972
0.0,32,0.09,-0.0019414266726274435
0.0,32,0.09999999999999999,-0.0020595609734967773
0.0,32,0.11,-0.002197637048009256
0.0,32,0.12,-0.002473009583476362
0.0,32,0.13,-0.0024058903069045902
0.0,32,0.14,-0.002549063226606486
0.0,33,0.01,-0.0009716532242792317
0.0,33,0.02,-0.0010858893766066751
0.0,33,0.03,-0.001177916709461789
0.0,33,0.04,-0.0013816155292466375
0.0,33,0.05,-0.0015337499321105576
0.0,33,0.060000000000000005,-0.0017196243429200612
0.0,33,0.06999999999999999,-0.001766294620155866
0.0,33,0.08,-0.0019250841614756329
0.0,33,0.09,-0.0019414266726274435
0.0,33,0.09999999999999999,-0.0020595609734967773
0.0,33,0.11,-0.0021577873116427186
0.0,33,0.12,-0.0022784815211372234
0.0,33,0.13,-0.0024058903069045902
0.0,33,0.14,-0.002549063226606486
0.0,34,0.01,0.0016908508720550391
0.0,34,0.02,0.0015337845982974698
0.0,34,0.03,0.001320014341072109
0.0,34,0.04,0.001111569807451799
0.0,34,0.05,0.000910403180583829
0.0,34,0.060000000000000005,0.0007314932055316344
0.0,34,0.06999999999999999,0.0005168213149879333
0.0,34,0.08,0.0003127497223021985
0.0,34,0.09,-0.00010125441834649921
0.0,34,0.09999999999999999,-3.09586155131528e-05
0.0,34,0.11,-0.00027351459971322253
0.0,34,0.12,-0.0003846000551805287
0.0,34,0.13,-0.0005492249982293933
0.0,34,0.14,-0.0007396472722956664
0.0,35,0.01,-0.0027940602494157364
0.0,35,0.02,-0.0028925029895332088
0.0,35,0.03,-0.0030059893241480666
0.0,35,0.04,-0.003087051883727255
0.0,35,0.05,-0.0031702671659476185
0.0,35,0.060000000000000005,-0.0032239778602868177
0.0,35,0.06999999999999999,-0.0032922673303318337
0.0,35,0.08,-0.003364947167386334
0.0,35,0.09,-0.003432213385304416
0.0,35,0.09999999999999999,-0.004017981467227213
0.0,35,0.11,-0.003583706930214342
0.0,35,0.12,-0.0036707804026079845
0.0,35,0.13,-0.0037430570021865237
0.0,35,0.14,-0.0038223302400623447
0.0,36,0.01,-0.006449301154443312
0.0,36,0.02,-0.00644037812686452
0.0,36,0.03,-0.006410887573058206
0.0,36,0.04,-0.006365187123720847
0.0,36,0.05,-0.006319667258996129
0.0,36,0.060000000000000005,-0.006235096961101235
0.0,36,0.06999999999999999,-0.006159276699887121
0.0,36,0.08,-0.006101987502735986
0.0,36,0.09,-0.0060328723511762555
0.0,36,0.09999999999999999,-0.005962640034441118
0.0,36,0.11,-0.005886648751994216
0.0,36,0.12,-0.005823861337115328
0.0,36,0.13,-0.0057539727267431435
0.0,36,0.14,-0.005695711726027889
0.0,37,0.01,0.009423654191732328
0.0,37,0.02,0.009650641847848496
0.0,37,0.03,0.009826150804246873
